ADDRESS_ID,DESTINATION_ADDRESS,STREET_VIEW_URL,COMMERCIAL_ADDRESS_FLAG,BUSINESS_HOURS,STRT_VW_IMG_DSCRPTN
1,"668 FOREST AVE ELGIN, IL 60120","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=42.0392066,-88.26470710000001&heading=151.78&pitch=-0.76&fov=80",False,no timing available,"*   The driveway is partially obscured by trees, potentially limiting visibility.
*   Parking space is limited to street parking.
*   There is visible dead end"
2,"749 SHABBONA DR FONTANA-ON-GENEVA LAKE, WI 53125","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=42.5426688,-88.5735364&heading=151.78&pitch=-0.76&fov=80",False,no timing available,"*   The driveway is long and may have limited visibility from the road.
*   Parking space is limited.
*   There is visible dead end."
3,"165 CHICAGO ST CARY, IL 60013","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=42.202955,-88.2329901&heading=151.78&pitch=-0.76&fov=80",True,Wednesday 9:00AM-4:30PM,"*   Parking space is limited and may be crowded during peak hours.
*   The driveway appears wide and unobstructed.
*   No visible stop signs."
4,"11440 S EGGLESTON AVE CHICAGO, IL 60628","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.6857579,-87.6340427&heading=151.78&pitch=-0.76&fov=80",False,no timing available,"*   The driveway appears narrow, potentially posing access challenges.
*   Parking space seems limited, which could cause difficulties.
*   There is visible dead end."
5,"17254 NEW LENOX RD JOLIET, IL 60433","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.5113656,-88.03560449999999&heading=151.78&pitch=-0.76&fov=80",True,Friday 6:00AM-4:00PM,"*   There is ample parking space available.
*   No challenges are visible for the road and driveway.
*   No stop signs are visible.
*   There is visible dead end."
6,"505 WIMBLETON TRL MCHENRY, IL 60050","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=42.3335801,-88.315739&heading=151.78&pitch=-0.76&fov=80",False,no timing available,"*   The driveway is partially obscured by trees, potentially limiting visibility.
*   Parking space is limited to the driveway, which may pose challenges for larger vehicles.
*   There is visible dead end.
*   No stop signs are visible."
7,"26 W MINNESOTA ST INDIANAPOLIS, IN 46225","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.7445446,-86.1600924&heading=151.78&pitch=-0.76&fov=80",False,no timing available,"*   The road appears narrow, potentially posing challenges for larger delivery vehicles.
*   The driveway is obscured by dense trees and vegetation, limiting visibility.
*   There is visible dead end."
8,"12630 S HAMLIN CT ALSIP, IL 60803","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.663552,-87.7148756&heading=151.78&pitch=-0.76&fov=80",True,Thursday 6:00AM-4:00PM,
9,"1007 W HARRISON ST CHICAGO, IL 60607","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.873808,-87.652897&heading=151.78&pitch=-0.76&fov=80",True,Wednesday 9:00AM-5:00PM,"*   Limited parking space is observed near the jobsite.
*   The driveway has limited visibility due to the presence of trees.
*   There is visible dead end."
10,"1162 S GLENN TRL ELK GROVE VILLAGE, IL 60007","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=41.999499,-88.03789739999999&heading=151.78&pitch=-0.76&fov=80",False,no timing available,"*   The driveway appears to be narrow, potentially posing challenges for larger vehicles.
*   Parking space is limited to the driveway, which may be insufficient for larger deliveries.
*   There is a visible stop sign."
