DATA_ID,FEATURE_ID
2204,15
2204,46
2204,26
882,47
882,34
882,27
5308,26
5308,3
5308,46
3534,10
3534,26
3534,15
2859,27
2859,26
2859,46
2626,10
2626,16
2626,34
566,10
566,26
566,41
1154,19
1154,26
1154,15
4796,45
4796,3
4796,10
4240,10
4240,15
4240,41
4034,10
4034,15
4034,26
4974,34
4974,10
4974,47
1513,15
1513,27
1513,26
1496,19
1496,26
1496,41
5192,26
5192,3
5192,22
293,20
293,45
293,26
3102,10
3102,15
3102,41
597,7
597,16
597,23
3343,16
3343,23
3343,3
5218,16
5218,47
5218,14
1955,16
1955,7
1955,23
3007,21
2302,16
2302,7
2302,23
4944,16
4944,7
4944,23
1312,16
1312,27
1312,47
2368,16
2368,36
2368,41
2945,16
2945,23
2945,12
4410,16
4410,3
4410,22
951,16
951,38
951,3
1847,16
1847,26
1847,3
3285,26
3285,10
3285,14
472,38
472,23
472,33
1466,16
1466,38
1466,15
3378,16
3378,26
3378,33
54,16
54,26
54,22
3889,36
3889,32
3889,24
2411,26
2411,41
2411,25
4800,38
4800,47
4800,3
5144,7
5144,16
5144,34
3170,16
3170,34
3170,3
3839,38
3839,19
3839,3
1491,38
1491,45
1491,15
3323,38
3323,10
3323,32
3656,17
3656,41
3656,22
3357,45
3357,3
3357,41
2075,19
2075,46
2075,12
2303,16
2303,10
2303,46
2920,16
2920,19
2920,14
5743,16
5743,19
5743,41
5323,26
5323,20
5323,25
637,15
637,23
637,3
3927,15
3927,23
3927,3
1394,41
1394,33
1394,19
1565,40
1565,36
1565,14
5985,12
5985,15
5985,46
1316,26
1316,15
1316,3
4521,16
4521,19
4521,15
3749,10
3749,47
3749,26
4503,26
4503,22
4503,46
3722,3
3722,17
3722,41
2746,45
2746,15
2746,22
4535,15
4535,10
4535,26
1017,26
1017,14
1017,22
4317,41
4317,3
4317,12
5035,16
5035,37
5035,11
5987,22
5987,46
5987,43
5708,15
5708,26
5708,39
592,15
592,46
592,23
4742,16
4742,23
4742,3
2477,16
2477,15
2477,26
3040,16
3040,41
3040,15
5284,19
5284,3
5284,10
5589,22
5589,36
5589,43
3399,10
3399,26
3399,34
2590,10
2590,34
2590,26
2298,34
2298,14
2298,47
2436,34
2436,14
2436,28
3601,34
3601,16
3601,14
5805,26
5805,10
5805,12
5871,38
5871,47
5871,15
318,38
318,10
318,26
5669,10
5669,26
5669,15
4539,47
4539,34
4539,14
2285,16
2285,19
2285,10
525,19
525,3
525,23
2793,29
2793,37
2793,42
1503,29
1503,33
1503,10
3081,19
3081,26
3081,33
1353,19
1353,3
1353,12
999,25
999,3
999,15
2995,41
2995,46
2995,47
5355,17
5355,25
5355,41
5480,10
5480,19
5480,15
3485,23
3485,14
3485,41
2701,14
2701,16
2701,27
4926,15
4926,23
4926,33
3753,15
3753,46
3753,18
23,46
23,25
23,12
5929,47
5929,16
5929,19
4474,33
4474,19
4474,27
4050,10
4050,26
4050,12
2854,15
2854,22
2854,41
5156,10
5156,47
5156,14
562,33
562,15
562,41
4860,37
4860,45
4860,14
4770,16
4770,23
4770,26
2231,28
2231,47
2231,26
5149,27
5149,23
5149,22
2967,19
2967,26
2967,3
2131,41
2131,12
2131,14
416,15
416,41
416,19
3830,23
3830,10
3830,18
2061,15
2061,10
2061,41
3448,25
3448,47
3448,14
5646,16
5646,26
5646,15
4746,10
4746,19
4746,23
1202,19
1202,15
1202,25
4220,15
4220,22
4220,18
606,37
606,14
606,41
5033,19
5033,9
5033,13
404,19
404,15
404,24
401,19
401,47
401,24
3751,25
3751,3
3751,46
4169,19
4169,23
4169,33
1656,47
1656,14
1656,15
3693,15
3693,10
3693,19
3893,38
3893,23
3893,10
3915,10
3915,34
3915,26
2487,26
2487,19
2487,25
746,16
746,26
746,25
1550,15
1550,26
1550,47
1910,26
1910,22
1910,18
676,3
676,5
676,41
5196,46
5196,22
5196,12
1560,37
1560,47
1560,14
826,23
826,27
826,26
4655,10
4655,26
4655,15
2567,33
2567,25
2567,23
1651,10
1651,15
1651,41
1545,19
1545,46
1545,15
1278,16
1278,26
1278,19
5210,16
5210,19
5210,14
668,10
668,15
668,26
2638,38
2638,19
2638,47
480,16
480,19
480,10
4355,16
4355,23
4355,41
1273,23
1273,16
1273,46
2637,16
2637,23
2637,3
5057,25
5057,26
5057,15
2983,10
2983,15
2983,41
4659,26
4659,3
4659,30
1846,10
1846,15
1846,41
1052,26
1052,16
1052,41
5532,10
5532,15
5532,41
2380,25
2380,26
2380,15
3261,35
3261,14
3261,3
3491,16
3491,19
3491,33
2564,40
2564,36
2564,22
2795,46
2795,22
2795,36
511,26
511,41
511,22
4324,26
4324,25
4324,19
1319,10
1319,26
1319,15
1082,10
1082,15
1082,41
2025,14
2025,46
2025,22
4270,46
4270,41
4270,16
4511,17
4511,16
4511,15
3769,45
3769,22
3769,46
5613,16
5613,26
5613,41
1838,10
1838,15
1838,41
4768,10
4768,47
4768,14
4066,17
4066,19
4066,3
5897,16
5897,3
5897,19
5419,26
5419,3
5419,22
825,15
825,3
825,19
2578,19
2578,15
2578,27
2163,15
2163,10
2163,47
3002,16
3002,19
3002,26
5062,16
5062,19
5062,26
3188,16
3188,19
3188,26
2863,16
2863,46
2863,15
5732,16
5732,26
5732,12
2132,26
2132,33
2132,22
1335,25
1335,19
1335,18
4681,41
4681,15
4681,3
253,10
253,15
253,27
1263,32
1263,12
1263,41
352,19
352,26
352,27
5326,16
5326,26
5326,15
4716,25
4716,36
4716,22
4633,27
4633,10
4633,15
158,10
158,26
158,41
2341,26
2341,3
2341,15
4055,38
4055,16
4055,3
4547,10
4547,26
4547,28
4131,40
4131,36
4131,14
5113,10
5113,25
5113,26
335,38
335,33
335,16
5671,38
5671,19
5671,15
131,10
131,15
131,29
1822,5
1822,46
1822,41
4643,26
4643,15
4643,41
1498,16
1498,26
1498,3
3328,19
3328,41
3328,23
4514,19
4514,18
4514,41
4181,7
4181,16
4181,19
4596,10
4596,15
4596,41
972,10
972,26
972,15
1225,14
1225,22
1225,41
2686,16
2686,3
2686,14
4043,16
4043,19
4043,23
2136,16
2136,23
2136,10
432,25
432,41
432,15
2877,26
2877,27
2877,15
291,15
291,23
291,12
1469,10
1469,15
1469,12
4185,10
4185,26
4185,15
2825,15
2825,25
2825,3
45,16
45,15
45,19
2907,16
2907,41
2907,47
5206,16
5206,15
5206,19
2125,16
2125,19
2125,3
509,16
509,27
509,3
166,15
166,26
166,20
2244,16
2244,29
2244,33
1699,16
1699,34
1699,27
2726,16
2726,47
2726,10
35,28
35,14
35,26
4674,19
4674,16
4674,41
5129,7
5129,16
5129,19
650,47
650,34
650,14
3489,16
3489,47
3489,27
933,16
933,3
933,15
5339,10
5339,38
5339,15
3272,26
3272,22
3272,12
1911,26
1911,10
1911,23
3968,16
3968,34
3968,9
653,26
653,3
653,19
2605,16
2605,47
2605,15
4003,25
4003,33
4003,3
763,10
763,26
763,41
4454,47
4454,34
4454,14
4610,10
4610,34
4610,26
737,25
737,26
737,22
727,16
727,14
727,23
390,26
390,17
390,16
5920,19
5920,16
5920,41
5964,26
5964,15
5964,19
3008,10
3008,15
3008,41
3456,10
3456,26
3456,15
3484,45
3484,15
3484,46
2722,26
2722,15
2722,46
2649,10
2649,34
2649,47
2040,26
2040,3
2040,10
5303,26
5303,46
5303,41
330,7
330,16
330,14
787,38
787,25
787,3
2050,40
2050,12
2050,15
2230,26
2230,19
2230,3
4937,26
4937,41
4937,17
4556,47
4556,34
4556,15
3666,36
3666,40
3666,39
2191,10
2191,15
2191,46
4886,36
4886,27
4886,45
2948,38
2948,19
2948,33
4736,19
4736,23
4736,15
154,10
154,15
154,46
4531,19
4531,15
4531,26
1218,15
1218,41
1218,12
5501,36
5501,19
5501,12
5840,35
5840,14
5840,47
3413,10
3413,15
3413,19
875,26
875,25
875,10
1384,34
1384,10
1384,15
113,14
113,9
113,41
4486,26
4486,22
4486,3
4490,36
4490,47
4490,23
2396,45
2396,26
2396,23
62,16
62,26
62,19
2232,26
2232,15
2232,10
2531,10
2531,47
2531,27
1479,10
1479,15
1479,3
2392,26
2392,15
2392,41
2571,23
2571,22
2571,46
4384,10
4384,23
4384,33
1706,10
1706,15
1706,26
841,27
841,10
841,3
3055,19
3055,15
3055,41
5259,19
5259,15
5259,12
2451,16
2451,23
2451,15
1702,16
1702,10
1702,23
1953,16
1953,19
1953,10
2272,16
2272,19
2272,10
4675,16
4675,7
4675,19
4063,16
4063,7
4063,19
5668,16
5668,38
5668,3
2674,16
2674,15
2674,45
3687,16
3687,38
3687,3
5074,16
5074,47
5074,15
4064,16
4064,3
4064,22
701,16
701,45
701,26
1459,16
1459,3
1459,26
3976,38
3976,27
3976,10
2014,16
2014,19
2014,15
2137,45
2137,22
2137,23
1356,38
1356,15
1356,23
5753,38
5753,41
5753,19
3822,15
3822,25
3822,3
4351,19
4351,23
4351,41
37,15
37,26
37,41
201,19
201,10
201,46
3626,15
3626,3
3626,41
1239,22
1239,23
1239,12
4559,15
4559,14
4559,47
195,15
195,37
195,47
5854,25
5854,19
5854,15
3470,26
3470,3
3470,16
2425,16
2425,22
2425,15
5690,14
5690,47
5690,46
5946,32
5946,14
5946,27
5857,25
5857,41
5857,19
5609,34
5609,26
5609,20
4594,16
4594,47
4594,3
2052,41
2052,12
2052,33
3729,38
3729,33
3729,15
4840,16
4840,17
4840,15
3617,38
3617,27
3617,14
5411,17
5411,26
5411,3
1607,38
1607,19
1607,3
3677,38
3677,3
3677,33
2400,38
2400,27
2400,15
804,10
804,38
804,22
3954,15
3954,46
3954,22
382,7
382,15
382,19
237,7
237,16
237,19
4211,7
4211,19
4211,41
4458,7
4458,16
4458,19
3379,19
3379,27
3379,41
5931,25
5931,15
5931,23
5413,45
5413,25
5413,14
2000,10
2000,26
2000,41
3529,37
3529,10
3529,23
1494,25
1494,18
1494,36
2929,10
2929,15
2929,33
2690,10
2690,33
2690,15
1722,10
1722,15
1722,41
4267,23
4267,3
4267,33
4440,23
4440,22
4440,19
2479,47
2479,10
2479,14
334,47
334,19
334,14
2083,16
2083,47
2083,19
275,16
275,47
275,3
4285,15
4285,47
4285,10
4573,46
4573,22
4573,23
1132,16
1132,15
1132,23
1334,7
1334,16
1334,19
4632,16
4632,23
4632,15
4421,10
4421,12
4421,15
1637,10
1637,15
1637,12
1414,47
1414,22
1414,46
5526,25
5526,41
5526,33
533,19
533,33
533,15
558,19
558,25
558,33
3036,47
3036,16
3036,28
5235,15
5235,16
5235,2
2162,3
2162,16
2162,26
2755,19
2755,42
2755,27
4214,15
4214,10
4214,46
5784,15
5784,3
5784,33
1659,16
1659,47
1659,26
4446,19
4446,25
4446,46
2228,27
2228,47
2228,46
3793,19
3793,33
3793,15
4618,47
4618,46
4618,12
3304,19
3304,25
3304,15
1686,10
1686,15
1686,26
1681,16
1681,3
1681,23
3706,16
3706,23
3706,19
1946,47
1946,10
1946,22
1961,17
1961,41
1961,46
151,3
151,22
151,36
4773,10
4773,38
4773,26
3848,10
3848,26
3848,15
2447,33
2447,15
2447,23
3128,25
3128,26
3128,22
5596,26
5596,10
5596,15
2404,10
2404,15
2404,26
4889,12
4889,46
4889,36
1635,15
1635,41
1635,5
2813,26
2813,19
2813,16
5436,26
5436,3
5436,46
2803,15
2803,22
2803,36
5176,19
5176,23
5176,3
4735,10
4735,17
4735,27
5631,19
5631,23
5631,3
4308,15
4308,26
4308,10
2734,15
2734,3
2734,46
1391,19
1391,15
1391,23
1475,26
1475,3
1475,41
4437,10
4437,26
4437,15
950,38
950,26
950,34
3333,38
3333,3
3333,33
3155,15
3155,41
3155,22
1002,12
1002,32
1002,27
5031,10
5031,15
5031,26
643,27
643,41
643,33
3039,15
3039,22
3039,36
2606,26
2606,15
2606,10
4170,3
4170,23
4170,18
1971,41
1971,23
1971,12
1555,15
1555,23
1555,47
5295,19
5295,23
5295,22
5169,23
5169,15
5169,3
1063,16
1063,3
1063,25
5689,25
5689,15
5689,14
1524,47
1524,34
1524,14
1067,19
1067,15
1067,16
3356,19
3356,26
3356,15
4467,10
4467,27
4467,15
1242,25
1242,3
1242,33
2326,34
2326,27
2326,14
900,10
900,15
900,41
3090,26
3090,46
3090,22
3428,25
3428,19
3428,41
514,10
514,26
514,32
4463,33
4463,41
4463,46
4284,10
4284,15
4284,28
5211,16
5211,19
5211,47
5260,16
5260,27
5260,14
4067,16
4067,7
4067,27
3906,16
3906,23
3906,12
4538,10
4538,47
4538,27
4534,19
4534,15
4534,33
3853,34
3853,47
3853,10
5751,15
5751,10
5751,46
2045,45
2045,23
2045,14
2781,37
2781,25
2781,14
1551,35
1551,14
1551,37
2055,15
2055,3
2055,19
3355,25
3355,19
3355,23
1882,26
1882,15
1882,18
4164,19
4164,3
4164,14
409,10
409,15
409,46
2874,10
2874,26
2874,15
4622,16
4622,19
4622,46
1470,16
1470,19
1470,46
4887,16
4887,19
4887,46
1370,16
1370,19
1370,46
3630,16
3630,23
3630,3
5514,16
5514,47
5514,14
1346,16
1346,19
1346,36
3561,16
3561,47
3561,15
1213,16
1213,29
1213,10
1557,38
1557,16
1557,19
1904,19
1904,15
1904,16
2794,15
2794,38
2794,47
2911,19
2911,25
2911,12
2286,38
2286,16
2286,15
617,26
617,15
617,46
3049,16
3049,19
3049,3
1626,19
1626,18
1626,36
2996,38
2996,41
2996,32
2956,26
2956,33
2956,25
1219,25
1219,41
1219,23
1147,41
1147,47
1147,18
2506,23
2506,3
2506,41
3458,15
3458,23
3458,47
4094,19
4094,41
4094,23
2351,26
2351,15
2351,10
3573,10
3573,23
3573,12
4269,10
4269,47
4269,23
1649,10
1649,38
1649,15
4646,17
4646,3
4646,23
5318,16
5318,3
5318,22
2026,10
2026,26
2026,47
1938,26
1938,10
1938,19
1032,18
1032,19
1032,12
1260,17
1260,3
1260,41
548,47
548,17
548,3
5834,10
5834,27
5834,14
5489,15
5489,19
5489,46
4718,47
4718,14
4718,26
2035,16
2035,17
2035,19
1047,19
1047,10
1047,15
3874,10
3874,15
3874,41
4597,26
4597,41
4597,15
465,17
465,15
465,10
3814,3
3814,39
3814,33
920,17
920,47
920,3
4864,17
4864,3
4864,41
4202,15
4202,26
4202,41
5194,10
5194,26
5194,41
677,3
677,22
677,36
5803,3
5803,23
5803,46
5951,19
5951,15
5951,3
5467,19
5467,3
5467,22
5721,34
5721,26
5721,15
4969,10
4969,26
4969,15
5962,19
5962,17
5962,33
5199,26
5199,41
5199,5
114,10
114,26
114,41
4224,16
4224,38
4224,26
2718,16
2718,38
2718,15
1668,16
1668,23
1668,25
5938,16
5938,41
5938,15
1587,16
1587,23
1587,3
2856,16
2856,15
2856,3
5460,16
5460,3
5460,15
618,16
618,3
618,15
2603,16
2603,26
2603,19
1941,16
1941,19
1941,41
1467,16
1467,10
1467,19
214,16
214,15
214,27
5296,16
5296,23
5296,3
5146,41
5146,19
5146,20
1244,16
1244,19
1244,14
3214,16
3214,45
3214,14
4489,16
4489,45
4489,14
1165,16
1165,29
1165,19
3894,16
3894,15
3894,23
970,16
970,19
970,15
3199,38
3199,7
3199,16
3612,16
3612,26
3612,19
1170,38
1170,16
1170,15
3582,38
3582,16
3582,15
1654,38
1654,16
1654,19
4550,19
4550,23
4550,22
1781,10
1781,14
1781,12
5394,10
5394,32
5394,41
3969,16
3969,41
3969,25
5935,19
5935,41
5935,14
5775,38
5775,19
5775,27
5427,19
5427,41
5427,33
2543,15
2543,41
2543,18
575,38
575,3
575,22
5397,45
5397,27
5397,22
2197,41
2197,14
2197,47
5816,14
5816,10
5816,34
5269,29
5269,19
5269,33
4207,19
4207,22
4207,36
5013,10
5013,26
5013,37
5203,16
5203,19
5203,41
2693,19
2693,29
2693,33
3973,29
3973,19
3973,3
3844,26
3844,22
3844,36
2064,16
2064,19
2064,23
2082,16
2082,19
2082,23
4271,16
4271,10
4271,23
3959,16
3959,27
3959,10
4892,3
4892,41
4892,47
2253,19
2253,15
2253,22
3478,19
3478,33
3478,15
3943,23
3943,15
3943,3
1530,45
1530,27
1530,15
2554,47
2554,16
2554,27
4935,19
4935,41
4935,15
2439,19
2439,25
2439,18
1583,47
1583,17
1583,14
1362,7
1362,16
1362,19
4856,25
4856,46
4856,33
3607,16
3607,19
3607,26
3032,7
3032,16
3032,19
2110,7
2110,16
2110,19
2991,7
2991,16
2991,19
5306,7
5306,16
5306,19
3559,16
3559,19
3559,23
883,7
883,16
883,19
3727,7
3727,16
3727,23
5919,16
5919,23
5919,19
27,38
27,19
27,33
3219,26
3219,19
3219,10
2835,26
2835,19
2835,10
274,23
274,12
274,22
675,23
675,25
675,14
4228,38
4228,33
4228,19
5796,38
5796,19
5796,33
1965,16
1965,26
1965,41
4501,19
4501,27
4501,22
2845,19
2845,41
2845,18
2780,19
2780,16
2780,41
70,19
70,16
70,41
2176,16
2176,23
2176,41
4060,19
4060,15
4060,25
5577,19
5577,15
5577,22
1245,3
1245,41
1245,15
3981,10
3981,15
3981,16
2438,16
2438,47
2438,27
3794,16
3794,19
3794,23
5955,16
5955,19
5955,23
2534,16
2534,19
2534,23
1700,16
1700,19
1700,23
1153,15
1153,23
1153,39
1398,19
1398,26
1398,15
5025,19
5025,23
5025,15
4862,22
4862,46
4862,41
2338,7
2338,40
2338,16
2307,40
2307,16
2307,36
4904,19
4904,41
4904,25
2151,23
2151,19
2151,25
2235,26
2235,19
2235,3
1695,3
1695,23
1695,22
2329,16
2329,3
2329,23
1026,16
1026,45
1026,22
4221,47
4221,14
4221,17
2508,15
2508,41
2508,3
5540,41
5540,18
5540,22
5761,19
5761,15
5761,10
4899,10
4899,26
4899,15
4154,19
4154,14
4154,15
1554,15
1554,10
1554,47
4981,47
4981,10
4981,44
392,26
392,41
392,3
5477,45
5477,20
5477,10
1690,46
1690,22
1690,36
4496,19
4496,15
4496,33
3299,10
3299,26
3299,41
4986,26
4986,19
4986,41
1812,47
1812,26
1812,14
4686,19
4686,15
4686,12
2185,15
2185,23
2185,25
1625,19
1625,15
1625,26
4774,15
4774,19
4774,16
1609,19
1609,15
1609,10
3121,19
3121,10
3121,22
2490,19
2490,41
2490,23
3852,19
3852,23
3852,3
2697,19
2697,23
2697,3
3185,15
3185,19
3185,23
5358,16
5358,19
5358,41
1860,19
1860,23
1860,33
1296,26
1296,19
1296,23
2962,26
2962,19
2962,23
4349,10
4349,23
4349,46
5916,23
5916,26
5916,10
4874,15
4874,3
4874,23
5234,16
5234,10
5234,26
4404,11
4404,33
4404,22
2089,16
2089,7
2089,19
3316,16
3316,7
3316,19
2049,16
2049,7
2049,10
4834,16
4834,7
4834,10
5826,16
5826,7
5826,15
4838,16
4838,7
4838,15
3726,16
3726,7
3726,19
4363,16
4363,7
4363,19
5684,16
5684,7
5684,19
182,16
182,7
182,14
3318,16
3318,7
3318,14
3834,16
3834,7
3834,14
2347,16
2347,7
2347,19
3174,16
3174,7
3174,3
5449,16
5449,15
5449,19
176,16
176,10
176,34
169,16
169,19
169,10
3972,7
3972,16
3972,38
4031,16
4031,47
4031,27
5718,16
5718,14
5718,32
965,15
965,19
965,41
1136,19
1136,41
1136,39
5274,10
5274,26
5274,14
5344,38
5344,26
5344,3
5926,16
5926,19
5926,23
3870,16
3870,19
3870,23
5242,16
5242,37
5242,15
3445,15
3445,18
3445,46
4872,10
4872,15
4872,26
802,16
802,26
802,19
1349,16
1349,3
1349,15
3207,16
3207,26
3207,33
4429,10
4429,26
4429,15
5058,19
5058,15
5058,23
350,3
350,15
350,23
3384,34
3384,10
3384,14
4975,10
4975,26
4975,15
5000,38
5000,41
5000,33
3801,16
3801,41
3801,22
2313,15
2313,26
2313,27
4392,3
4392,23
4392,32
5506,12
5506,23
5506,22
2103,3
2103,23
2103,33
187,15
187,10
187,47
5859,10
5859,15
5859,26
2361,10
2361,15
2361,26
5912,47
5912,2
5912,25
3599,16
3599,26
3599,15
728,15
728,26
728,10
4189,26
4189,25
4189,33
3717,8
3717,10
3717,27
5247,8
5247,26
5247,28
604,15
604,41
604,25
4373,19
4373,10
4373,27
3639,3
3639,19
3639,22
5371,19
5371,33
5371,14
3171,19
3171,26
3171,15
5742,16
5742,25
5742,3
5007,33
5007,26
5007,3
1350,27
1350,16
1350,47
1446,16
1446,27
1446,14
171,19
171,33
171,15
3504,19
3504,16
3504,15
1492,15
1492,8
1492,27
624,3
624,26
624,41
3058,25
3058,27
3058,46
4612,36
4612,46
4612,26
4418,19
4418,22
4418,46
1697,16
1697,3
1697,22
74,16
74,26
74,15
473,16
473,25
473,22
1209,3
1209,22
1209,46
3154,3
3154,22
3154,12
3235,3
3235,36
3235,12
1267,15
1267,34
1267,47
116,16
116,7
116,25
4635,16
4635,10
4635,15
4584,16
4584,38
4584,23
5988,23
5988,10
5988,12
1336,10
1336,26
1336,14
5907,10
5907,26
5907,41
5914,38
5914,27
5914,33
2669,29
2669,33
2669,23
1300,38
1300,19
1300,15
3845,16
3845,10
3845,3
2240,16
2240,10
2240,3
4670,16
4670,10
4670,15
102,10
102,38
102,26
4713,10
4713,38
4713,26
4495,10
4495,26
4495,15
5163,26
5163,45
5163,3
1749,26
1749,41
1749,12
371,29
371,25
371,10
4606,16
4606,19
4606,25
2572,40
2572,10
2572,36
4649,29
4649,15
4649,19
5681,29
5681,25
5681,47
5572,29
5572,26
5572,23
1676,40
1676,35
1676,14
1246,16
1246,19
1246,23
2077,33
2077,19
2077,15
5454,45
5454,17
5454,23
1755,39
1755,3
1755,26
2419,27
2419,19
2419,23
206,19
206,3
206,27
3109,16
3109,3
3109,22
3421,16
3421,3
3421,22
3945,3
3945,26
3945,46
1561,16
1561,3
1561,26
4837,15
4837,10
4837,12
1341,45
1341,14
1341,23
4802,15
4802,22
4802,36
1727,25
1727,41
1727,15
1007,23
1007,22
1007,36
2186,16
2186,38
2186,15
5817,3
5817,15
5817,23
5965,19
5965,1
5965,47
3336,25
3336,3
3336,41
3070,3
3070,47
3070,41
4158,41
4158,25
4158,23
4327,3
4327,26
4327,41
3942,38
3942,19
3942,25
5357,19
5357,12
5357,22
2592,38
2592,15
2592,10
3875,19
3875,23
3875,12
5750,19
5750,23
5750,3
445,10
445,23
445,15
5207,19
5207,23
5207,41
1567,23
1567,3
1567,33
524,19
524,23
524,3
5424,38
5424,19
5424,15
5172,38
5172,27
5172,10
876,15
876,3
876,23
5012,10
5012,3
5012,23
1365,3
1365,23
1365,19
2401,10
2401,15
2401,19
2609,19
2609,17
2609,27
4448,19
4448,23
4448,46
5558,10
5558,26
5558,15
3716,10
3716,15
3716,27
3184,47
3184,23
3184,22
3373,19
3373,25
3373,23
5346,10
5346,41
5346,22
5637,15
5637,3
5637,41
115,23
115,15
115,3
629,3
629,41
629,12
264,8
264,19
264,26
3585,3
3585,25
3585,15
294,19
294,22
294,46
452,40
452,35
452,14
5453,27
5453,47
5453,25
2207,16
2207,41
2207,3
5899,16
5899,14
5899,23
46,16
46,19
46,23
3963,19
3963,23
3963,12
3434,34
3434,46
3434,41
721,10
721,15
721,19
1548,10
1548,41
1548,15
1930,23
1930,27
1930,19
1104,10
1104,15
1104,23
3786,27
3786,10
3786,23
4151,15
4151,3
4151,41
954,14
954,19
954,23
2387,19
2387,22
2387,46
3546,10
3546,15
3546,25
5582,23
5582,22
5582,3
3640,15
3640,41
3640,23
2624,15
2624,45
2624,10
4398,3
4398,33
4398,19
2648,19
2648,41
2648,23
3136,19
3136,25
3136,10
4839,19
4839,10
4839,22
5574,16
5574,15
5574,19
400,16
400,23
400,19
3764,19
3764,23
3764,10
118,23
118,33
118,10
4042,15
4042,33
4042,22
4023,19
4023,33
4023,15
1893,41
1893,3
1893,23
1956,16
1956,3
1956,26
2147,15
2147,26
2147,19
3287,26
3287,3
3287,47
5554,15
5554,41
5554,23
230,27
230,15
230,19
4119,15
4119,3
4119,33
5858,19
5858,16
5858,23
5630,19
5630,16
5630,23
2085,19
2085,23
2085,41
1539,23
1539,41
1539,33
3745,26
3745,47
3745,3
3521,19
3521,15
3521,23
3895,19
3895,23
3895,10
1538,19
1538,34
1538,47
4966,19
4966,26
4966,46
2777,17
2777,26
2777,41
5551,47
5551,15
5551,46
752,16
752,19
752,15
3816,16
3816,19
3816,23
4118,16
4118,15
4118,23
3730,25
3730,14
3730,12
5535,19
5535,25
5535,14
4810,15
4810,29
4810,41
4306,38
4306,15
4306,46
3246,40
3246,19
3246,41
1004,10
1004,38
1004,26
995,19
995,15
995,41
4364,19
4364,15
4364,40
5227,10
5227,26
5227,15
5294,3
5294,15
5294,22
5478,25
5478,41
5478,3
4902,19
4902,25
4902,15
4041,16
4041,25
4041,3
3346,38
3346,16
3346,3
4566,3
4566,23
4566,16
2989,27
2989,3
2989,16
5726,41
5726,18
5726,5
2262,47
2262,27
2262,14
5958,47
5958,27
5958,23
1975,38
1975,10
1975,15
1515,19
1515,15
1515,40
4947,25
4947,19
4947,3
5701,19
5701,26
5701,40
4672,27
4672,41
4672,42
3962,41
3962,25
3962,23
4130,16
4130,19
4130,12
1433,16
1433,26
1433,15
3480,26
3480,41
3480,25
5347,15
5347,26
5347,22
5162,34
5162,14
5162,47
4087,3
4087,41
4087,22
4895,26
4895,15
4895,3
537,15
537,10
537,12
5191,19
5191,15
5191,27
2123,19
2123,26
2123,15
3462,10
3462,26
3462,41
247,15
247,3
247,33
5051,16
5051,19
5051,40
2814,16
2814,15
2814,14
3904,10
3904,26
3904,15
1070,25
1070,3
1070,36
86,19
86,27
86,22
4250,19
4250,40
4250,23
987,19
987,40
987,23
4945,15
4945,41
4945,19
4984,23
4984,15
4984,3
4513,40
4513,15
4513,36
2732,19
2732,15
2732,3
