PRODUCT_ID,PRODUCT_DESCRIPTION
1,2 in. x 4 in. x 14 ft. #2 Premium Grade SPF Dimensional Lumber
2,Timberline HDZ Barkwood Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle)
3,Courtland 18 in. W x 24 in. D x 34.5 in. H Assembled Shaker Trash Can Kitchen Cabinet in Polar White
4,Homeline 20 Amp Single-Pole Plug-On Neutral Combination Arc Fault Circuit Breaker(HOM120PCAFIC)
5,9 x 3 in. Tan Star Flat-Head Wood Deck Screw (1 lb. / 73-Piece)
6,4 in. x 4 in. White New England Base Trim (401434)
7,Transcend 1 in. x 5-1/2 in. x 20 ft. Island Mist Square Edge Capped Composite Decking Board
8,1/2 in. x 10 ft. White PVC SCH 40 Potable Pressure Water Pipe
9,1 in. x 6 in. x 10 ft. Premium Kiln-Dried Square Edge Whitewood Common Softwood Boards
10,Strong-Drive 1-1/2 in. x 0.148 in. SCN Smooth-Shank HDG Connector Nail (600-Pack)
11,"3-1/4 in. x 0.131-Gauge 30¬? Galvanized Smooth Shank Paper Tape Framing Nails (2,000 per Box)"
12,2 in. x 12 in. x 22 ft. FIR #2 Standard Grade Dimensional Lumber
13,"Pop-Up Drainage Emitter with Elbow for 4 in. Drain Pipes, Green Plastic"
14,3 in. x 0.120 in. 21¬? Plastic Collated Exterior Galvanized Ring Shank Round Head Framing Nails 1000 per Box
15,Mosquito Coil Burner with Mosquito Coils
16,1-1/2 in. x 12 in. White Plastic Slip-Joint Sink Drain Extension Tube
17,TimberLOK Structural Wood Screws - 6 inch wood screws with hex head - Black (12 Pack)
18,LP Premium 23/32 in. Application as 4 ft. x 8 ft. Tongue and Groove OSB Sub-Floor
19,18 lb. Easy Sand 20 Setting-Type Joint Compound
20,Spray Sock Hood
21,4 in. x 4 in. x 8 ft. 2 Premium Grade Dimensional Lumber
22,#10 x 3-1/2 in. Tan Star-Flat Head Wood Deck Screw (1 lb. / 56-Piece)
23,#8 x 2-1/2 in. Star Drive Composite Trim Head Screw (100-per Pack)
24,1 in. x 6 in. x 8 ft. Premium Kiln-Dried Square Edge Whitewood Common Softwood Boards Board
25,2 in. x 4 in. x 10 ft. 2 Prime Cedar-Tone Ground Contact Pressure-Treated Southern Yellow Pine Lumber
26,"1x6-20' DecKorators Venture Composite Deck Board - Sandbar Solid Edge (Actual Size: 15/16""x5-1/2"") 502497"
27,2 in. x 10 in. x 16 ft. 2 Prime or Better Ground Contact Pressure-Treated Southern Yellow Pine Lumber
28,ABU ZMAX Galvanized Adjustable Standoff Post Base for 4x4 Nominal Lumber
29,30 in. x 80 in. 6 Panel Colonist Primed Left-Hand Textured Solid Core Molded Composite MDF Single Prehung Interior Door
30,920 sq. ft. Roll Synthetic Guard Underlayment
31,Sensonic Series 110 CFM Ceiling Bathroom Exhaust Fan with Speaker and Bluetooth Wireless Technology
32,"1-1/4 in. x 0.120-Gauge 15¬? Smooth Shank Electrogalvanized Wire Collated Coil Roofing Nails 7,200 per Box"
33,5/8 in. x 4 ft. x 8 ft. Cement Board with EdgeGuard
34,500 ft. 14 Gauge Blue Stranded Copper THHN Wire
35,3/4 in. Plastic PEX-B Barb Tee (5-Pack)
36,MSTA 36 in. 16-Gauge ZMAX Galvanized Medium Strap Tie
37,"1 qt., 28 oz. Body Filler"
38,Classic 500 60 in. L x 32 in. W Alcove Shower Pan Base with Left Drain in High Gloss White
39,2 in. DWV PVC Comb Wye and 1/8 Bend Fitting
40,2 in. x 4 in. x 8 ft. #2 Prime Ground Contact Pressure-Treated Lumber
41,#30 216 sq. ft. Felt Roof Deck Protection
42,10 x 2-1/2 in. Brown 6-Lobe Torx Drive Exterior Flat Head Multi-Material Screw 1 lbs.-Box (78-Piece)
43,500 ft. 12 Red Stranded CU THHN Wire
44,"1x12-12' Trex Transcend Lineage Composite Fasica - Biscayne Square Edge (Actual Size: .56""x11-3/8"") BC011212TLS01"
45,5 in. 120-Grit Hook and Lock ROS Sanding Discs
46,1-1/2 in. x .148 in. 33¬? Paper Collated Electrogalvanized Hardened Smooth Shank Joist Hanger Nails 1000 per Box
47,1-5/8 in. x 50 ft. Black Butyl Deck Joist Tape for under Decking Board
48,Larissa 31 in. Single Sink White Washed Oak Floating Bath Vanity with White Cultured Marble Top (Assembled)
49,Select 1 in. x 6 in. x 12 ft. Pebble Grey Grooved Edge Composite Deck Board
50,Pro Pack 356 11/16 in. x  2 1/4 in. x  84 in. Primed Finger Jointed Casing (5-Pack  35 Total Linear Feet)
51,Homeline 30 Amp 2-Pole Circuit Breaker(HOM230CP)
52,ProSTUD 20 2-1/2 in. x 8 ft. 20-Gauge EQ Galvanized Steel Wall Framing Stud
53,2-1/16 in. x 100 ft. Perfect-90 Flexible Paper Drywall Corner Trim
54,1-1/2 in. Male Terminal Adapter
55,#8 x 2-1/2 in. #2 Phillips Bugle Head Coarse Thread Drywall Screws 1 lb. Box
56,"15 Amp 125 V Duplex Outlet/Receptacle, White (10-Pack) 5320-WMP"
57,Timberline HDZ Mission Brown Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle)
58,4 in. x 6 in. x 16 ft. 2 Pressure-Treated Ground Contact Southern Pine Wood Post
59,"2-7/8 in. HeadLOK Structural Wood Screws Flat Head Wood Screws, Black (50-Pack)"
60,UltraLight Mold Tough 1/2 in. x 4 ft. x 8 ft. Gypsum Board
61,"2 lb. PostFix Fence Post Mix, Mix-In-The-Bag Expanding Foam for Supporting Non-Structural Posts, Mailbox, Sign"
