DATA_ID,MARKET,SCHEDULED_DELIVERY_DATE,DELIVERY_CREATE_DATE,VEHICLE_TYPE,CUSTOMER_ORDER_NUMBER,WORK_ORDER_NUMBER,SPECIAL_ORDER,FLOC,UNATTENDED_FLAG,WINDOW_START,WINDOW_END,QUANTITY,VOLUME_CUBEFT,WEIGHT,PALLET,DLVRY_RISK_DECILE,DLVRY_RISK_BUCKET,DLVRY_RISK_PERCENTILE,CUSTOMER_NOTES,CUSTOMER_NOTES_LLM_SUMMARY,HISTORIC_NOTES_LLM_SUMMARY,HISTORIC_NOTES_W_LABELS,RI_GENERATE_DATETIME,CUSTOMER_ID,OSR_ID,ADDRESS_ID,WEATHER_ID
2204,CHICAGO,2025-06-21,2025-06-19,FLAT,CG92094171,143763024,False,5928,True,6:00:00,20:00:00,109.0,34.9,1598.0,3.0,6,MEDIUM,40,,,,,2025-06-20 13:21:56.958639,1,1.0,83,40
882,CHICAGO,2025-07-04,2025-06-28,FLAT,CG92730950,144590706,False,5928,False,6:00:00,20:00:00,2.0,2.0,2.0,1.0,2,HIGH,83,call b/4 delivery delivery from the back of the building,*** Deliver to the back of the building.,"*** Deliver to the back of the building.
*** Be aware of potential access challenges due to construction.",MCT: Deliver to the back of the building. | MCT: Be aware of potential access challenges due to construction.,2025-07-03 11:27:23.191769,3372,,2,40
5308,CHICAGO,2025-07-02,2025-06-30,FLAT,CG92956860,144839784,False,5928,True,6:00:00,20:00:00,120.0,62.9,3377.1,5.0,6,MEDIUM,47,,,"*** Leave packages in the garage.
*** Verify product availability and prepare for large orders (up to 45 pieces).",MCT: Leave packages in the garage.,2025-07-01 11:38:46.571906,3,2.0,3,34
3534,CHICAGO,2025-06-07,2025-06-05,FLAT,CN20836762,142470913,False,5928,True,6:00:00,20:00:00,56.0,47.6,4480.0,2.0,3,HIGH,73,please call,,,,2025-06-06 11:47:07.917168,4,,4,40
2859,CHICAGO,2025-06-13,2025-06-06,FLAT,CN20970308,142565808,False,5928,True,6:00:00,20:00:00,144.0,49.0,982.1,1.0,3,HIGH,70,call before delivery deliver to garage,,,,2025-06-12 12:13:32.908974,5,,4390,38
2626,CHICAGO,2025-06-19,2025-06-06,FLAT,CN20975571,142569614,True,5928,True,8:00:00,10:00:00,1.0,1.9,41.7,6.0,1,HIGH,96,call prior to delivery for drop off instructions,*** Confirm exact drop-off location.,"*** Expect a large delivery of 40 boxes and 8 pallets.
*** Investigate accessibility: road, driveway, parking, and building access.","Dispatch: Investigate accessibility: road, driveway, parking, and building access.",2025-06-18 11:31:39.500294,6,,1060,40
566,CHICAGO,2025-06-13,2025-06-12,FLAT,CN21675360,143055230,False,5928,True,6:00:00,20:00:00,430.0,227.2,7063.6,4.0,7,MEDIUM,35,,,,,2025-06-12 12:13:32.908974,7,,7,40
1154,CHICAGO,2025-06-21,2025-06-18,FLAT,CN22553434,143647448,False,5928,True,6:00:00,20:00:00,140.0,283.8,9003.1,5.0,5,MEDIUM,56,,,,,2025-06-20 13:21:56.958639,8,,4606,40
4796,CHICAGO,2025-06-25,2025-06-23,FLAT,CN23248720,144148554,False,5928,True,6:00:00,20:00:00,14.0,23.4,772.6,2.0,3,HIGH,76,,,,,2025-06-24 11:34:50.181857,9,,9,40
4240,CHICAGO,2025-06-26,2025-06-25,FLAT,CN23438738,144284700,False,5928,True,6:00:00,10:00:00,92.0,72.8,6323.8,2.0,4,MEDIUM,66,,,,,2025-06-25 11:35:43.221586,10,,10,40
4034,CHICAGO,2025-07-03,2025-07-02,FLAT,CN24393493,144999702,False,5928,True,6:00:00,20:00:00,5.0,3.1,221.9,5.0,1,HIGH,92,,,,,2025-07-02 12:39:53.602346,11,,11,40
4974,CHICAGO,2025-07-10,2025-07-08,FLAT,CN25232270,145687763,False,5928,True,6:00:00,20:00:00,1.0,0.5,44.0,3.0,1,HIGH,93,,,"*** Gate access requires resolution before delivery.
*** Deliver to north parking lot (cones area).",MCT: Deliver to north parking lot (cones area).,2025-07-09 11:37:12.897562,12,3.0,12,40
1513,CHICAGO,2025-07-11,2025-07-09,FLAT,CN25376755,145818954,False,5928,True,6:00:00,20:00:00,150.0,28.5,3360.0,1.0,5,MEDIUM,56,Call 30 minytes prior to delivery,,,,2025-07-10 11:29:55.263804,13,,13,40
1496,CHICAGO,2025-07-18,2025-07-17,FLAT,CN26273079,146477703,False,5928,True,6:00:00,20:00:00,429.0,257.2,19055.6,6.0,10,LOW,4,please call Jason 1 hr prior to deliver. This is in the city so it can not deliver in the street nor the alley. His crew members will be on site to direct location but please CALL 2949725983,,,,2025-07-17 11:40:51.411825,14,,3228,38
5192,CHICAGO,2025-07-02,2025-06-30,FLAT,H0123-484041,144854993,False,5928,False,6:00:00,20:00:00,132.0,104.6,4235.4,3.0,9,LOW,19,,,,,2025-07-01 11:38:46.571906,15,,15,40
293,CHICAGO,2025-07-18,2025-07-16,FLAT,H0205-488554,146458756,False,5928,True,6:00:00,20:00:00,39.0,39.9,1466.3,2.0,8,LOW,20,Please call 9053502577 when en route.,,,,2025-07-17 11:40:51.411825,16,,4026,38
3102,CHICAGO,2025-06-14,2025-06-13,FLAT,H0247-610297,143146449,False,5928,True,6:00:00,10:00:00,75.0,63.8,6000.0,2.0,4,MEDIUM,68,,,,,2025-06-13 12:01:48.677892,17,4.0,17,38
597,CHICAGO,2025-06-11,2025-03-27,FLAT,H1901-340315,135301666,True,5928,True,8:00:00,10:00:00,24.0,26.7,1022.7,6.0,1,HIGH,99,,,,,2025-06-10 12:41:49.240306,18,,18,40
3343,CHICAGO,2025-06-27,2025-06-10,FLAT,H1901-340315,142884176,True,5928,True,8:00:00,10:00:00,24.0,26.7,1022.7,4.0,3,HIGH,79,,,,,2025-06-26 11:43:44.608402,19,,19,38
5218,CHICAGO,2025-06-21,2025-06-17,FLAT,H1901-342121,143528808,False,5928,True,10:00:00,14:00:00,45.0,5.0,45.5,3.0,1,HIGH,97,,,,,2025-06-20 13:21:56.958639,20,,20,40
1955,CHICAGO,2025-07-09,2025-03-31,FLAT,H1901-345859,133395325,False,5928,True,6:00:00,10:00:00,497.0,702.6,29159.5,11.0,2,HIGH,88,call before del 8757355446,,,,2025-07-08 11:34:03.389956,21,,21,40
3007,CHICAGO,2025-06-17,2025-03-31,FLAT,H1901-345859,133395326,False,5928,True,10:00:00,14:00:00,150.0,177.0,7428.0,5.0,1,HIGH,98,,,,,2025-06-16 11:58:57.008760,22,,22,38
2302,CHICAGO,2025-06-12,2025-04-14,FLAT,H1901-350591,137009849,False,5928,False,6:00:00,10:00:00,420.0,357.0,33600.0,18.0,9,LOW,16,,,,,2025-06-11 11:48:47.541802,23,,23,40
4944,CHICAGO,2025-06-26,2025-04-14,FLAT,H1901-350591,137009850,False,5928,False,6:00:00,10:00:00,420.0,357.0,33600.0,18.0,9,LOW,17,Driver: Please be sure to call ahead 5980632156 Thank you.  ok to dead drop with pictures,,"*** Leave packages in the driveway.
*** Ensure driveway access is available.
*** Confirm destination address.",MCT: Leave packages in the driveway. | MCT: Ensure driveway access is available. | MCT: Confirm destination address.,2025-06-25 11:35:43.221586,27,,24,34
1312,CHICAGO,2025-06-13,2025-05-16,FLAT,H1901-355287,140263258,False,5928,False,6:00:00,20:00:00,20.0,0.2,26.8,1.0,1,HIGH,99,peerless fence,,"*** Deliver before 3 PM to the loading dock.
*** Expect heavy, large quantity of empty Quickrete pallets.",Dispatch: Deliver before 3 PM to the loading dock.,2025-06-12 08:07:56.656479,25,,25,38
2368,CHICAGO,2025-07-02,2025-06-20,FLAT,H1901-356460,143854226,False,5928,True,6:00:00,10:00:00,416.0,698.9,29286.4,18.0,10,LOW,1,,,,,2025-07-01 11:38:46.571906,26,,26,40
2945,CHICAGO,2025-06-03,2025-05-31,FLAT,H1901-356476,141917961,False,5928,False,6:00:00,10:00:00,208.0,349.4,15059.2,6.0,10,LOW,6,please place rocks at top of driveway,,*** Deliveries should be placed on a blue tarp at the top of the driveway.,MCT: Deliveries should be placed on a blue tarp at the top of the driveway.,2025-06-02 14:07:36.663113,27,5.0,27,40
4410,CHICAGO,2025-06-11,2025-06-02,FLAT,H1901-356903,141620065,False,5928,True,10:00:00,14:00:00,64.0,165.7,4685.5,5.0,4,MEDIUM,69,,,,,2025-06-10 12:41:49.240306,28,,28,38
951,CHICAGO,2025-06-04,2025-05-28,FLAT,H1901-357146,141641478,False,5928,False,6:00:00,20:00:00,65.0,33.6,1759.2,5.0,4,MEDIUM,62,,"*** Previous order experienced rescheduling.
*** Previous order had product unavailability issues.
*** No specific access or preference notes.",,,2025-06-03 16:31:28.598696,29,,29,40
1847,CHICAGO,2025-06-05,2025-05-28,FLAT,H1901-357146,141641478,False,5928,False,6:00:00,20:00:00,65.0,33.6,1759.2,5.0,4,MEDIUM,68,Phn 1/2 hr before; Deliver to garage,"*** Deliver to the garage.
*** Check accessibility upon arrival.
*** Ensure smooth delivery process.",,,2025-06-04 14:11:39.565891,975,,30,38
3285,CHICAGO,2025-06-03,2025-06-02,FLAT,H1901-357668,142070589,False,5928,False,6:00:00,20:00:00,20.0,107.4,1551.4,4.0,8,LOW,29,,,,,2025-06-02 14:07:36.663113,31,,31,40
472,CHICAGO,2025-06-04,2025-06-02,FLAT,H1901-357708,142099343,False,5928,False,6:00:00,10:00:00,100.0,35.0,2212.0,2.0,9,LOW,11,,,,,2025-06-03 16:31:28.598696,32,,32,38
1466,CHICAGO,2025-06-14,2025-06-04,FLAT,H1901-358033,142319022,False,5928,True,6:00:00,20:00:00,100.0,259.8,7300.0,5.0,2,HIGH,87,Driveway as close to the garage as possible.,"*** Deliver to driveway, near garage.",*** Deliver to the front driveway.,MCT: Deliver to the front driveway.,2025-06-13 12:01:48.677892,33,,33,40
3378,CHICAGO,2025-06-11,2025-06-04,FLAT,H1901-358071,142355324,False,5928,False,6:00:00,20:00:00,106.0,100.4,4203.5,4.0,6,MEDIUM,39,Please call Michael @ 8169784091 prior to the delivery being made.  Please place onto the driveway in front of the garage.,"*** Leave packages on the driveway.
*** Delivery considerations include driveway placement.",,,2025-06-10 12:41:49.240306,34,,34,38
54,CHICAGO,2025-06-12,2025-06-04,FLAT,H1901-358071,142355324,False,5928,False,6:00:00,20:00:00,106.0,100.4,4203.5,4.0,7,MEDIUM,37,,,,,2025-06-11 11:48:47.541802,35,,35,40
3889,CHICAGO,2025-06-11,2025-06-09,FLAT,H1901-358716,142810564,True,5928,True,10:00:00,14:00:00,379.0,181.7,6014.4,5.0,10,LOW,2,,,,,2025-06-10 12:41:49.240306,36,,36,5
2411,CHICAGO,2025-06-13,2025-06-11,FLAT,H1901-359057,143021126,False,5928,False,6:00:00,20:00:00,188.0,109.7,5898.8,5.0,9,LOW,13,,,,,2025-06-12 12:13:32.908974,37,,37,40
4800,CHICAGO,2025-06-18,2025-06-16,FLAT,H1901-359545,143399552,False,5928,False,6:00:00,10:00:00,31.0,49.7,889.6,2.0,3,HIGH,79,,,,,2025-06-17 11:45:09.859657,38,,38,38
5144,CHICAGO,2025-06-27,2025-06-17,FLAT,H1901-359545,143553606,False,5928,False,6:00:00,20:00:00,4.0,34.1,508.0,4.0,1,HIGH,99,please call an hour before arriving,,,,2025-06-26 11:43:44.608402,39,,39,40
3170,CHICAGO,2025-07-03,2025-06-26,FLAT,H1901-359545,144454980,False,5928,False,6:00:00,20:00:00,4.0,34.1,508.0,4.0,1,HIGH,93,,,"*** Limited parking; enter on Williams St, exit on Vandustrial.
*** Ensure correct loading and dry goods.","Dispatch: Limited parking; enter on Williams St, exit on Vandustrial.",2025-07-02 12:39:53.602346,40,,4751,40
3839,CHICAGO,2025-06-18,2025-06-16,FLAT,H1901-359614,143423504,False,5928,False,6:00:00,10:00:00,50.0,67.0,2160.0,2.0,3,HIGH,70,,,"*** Deliver lumber to driveway.
*** Ensure banding/wrapping requirements are met.",,2025-06-17 11:45:09.859657,41,6.0,41,40
1491,CHICAGO,2025-06-18,2025-06-16,FLAT,H1901-359660,143458875,False,5928,False,6:00:00,10:00:00,82.0,48.8,4729.8,2.0,3,HIGH,76,,,,,2025-06-17 11:45:09.859657,42,,42,40
3323,CHICAGO,2025-06-18,2025-06-17,FLAT,H1901-359691,143492950,False,5928,False,6:00:00,10:00:00,120.0,102.0,9600.0,3.0,10,LOW,2,,,*** Place deliveries on the right side of the driveway.,MCT: Place deliveries on the right side of the driveway.,2025-06-17 11:45:09.859657,43,,43,40
3656,CHICAGO,2025-06-19,2025-06-17,FLAT,H1901-359691,143492950,False,5928,False,6:00:00,10:00:00,120.0,102.0,9600.0,3.0,10,LOW,7,,,,,2025-06-18 11:31:39.500294,44,,44,38
